,GANet-deep,M2S_CSPN,AMNet,GwcNet-g,HD^3-Stereo,PSMNet,HSM-1.5x,HSM-1.8x,GC-NET,RecResNet,SGM-Net,MC-CNN-acrt,PRSM,SPS-St,Content-CNN,CBMV
GANet-deep,,0.7283631123,0.6856248828,0.7223582268,0.7142609801,0.7012863319,0.7073267051,0.7146248335,0.6776931236,0.6453736193,0.5721320126,0.5455156051,0.5062210483,0.5051687791,0.4866985172,0.4739122754
M2S_CSPN,,,0.6995042133,0.7243854701,0.6839594675,0.7255131679,0.6838266862,0.6981394387,0.6736742873,0.6518965639,0.5601842751,0.5417700115,0.5063849699,0.5116237063,0.4818256773,0.4786698852
AMNet,,,,0.7113277333,0.6665768292,0.6844240504,0.6692282194,0.6654182137,0.6394785581,0.5917703999,0.524798036,0.4945781619,0.4784984708,0.4725532781,0.4446007763,0.4476955781
GwcNet-g,,,,,0.7137103609,0.759228426,0.738272506,0.7385645042,0.6943391584,0.6686812749,0.6051768331,0.5806332213,0.5316988092,0.5422610515,0.5186153565,0.5041624571
HD^3-Stereo,,,,,,0.7113031803,0.7097354958,0.7209461062,0.6820489878,0.6158744694,0.5455094461,0.5224923401,0.5011911256,0.4844858064,0.4685206857,0.4562686826
PSMNet,,,,,,,0.7103844009,0.7120534567,0.6618952053,0.6511688139,0.5636999067,0.546833295,0.520613645,0.5048065678,0.4817469152,0.4765741447
HSM-1.5x,,,,,,,,0.8829586472,0.6823965409,0.6560489139,0.600222315,0.5654029002,0.5471531292,0.5439757255,0.5169413611,0.5065481846
HSM-1.8x,,,,,,,,,0.6902838793,0.663094439,0.5962822183,0.5616787325,0.5356967071,0.5341064423,0.5003922332,0.4988215166
GC-NET,,,,,,,,,,0.6258354545,0.585082275,0.5635495383,0.5113089672,0.5322809422,0.5149830288,0.4896511425
RecResNet,,,,,,,,,,,0.6854248048,0.6836527681,0.5406917586,0.5831193446,0.5602930392,0.5834840274
SGM-Net,,,,,,,,,,,,0.7977134504,0.6257880222,0.7061225197,0.6592392454,0.6716773321
MC-CNN-acrt,,,,,,,,,,,,,0.6324996417,0.7103541725,0.6903214073,0.7186169023
PRSM,,,,,,,,,,,,,,0.6780196384,0.6277590301,0.6109122829
SPS-St,,,,,,,,,,,,,,,0.6971465866,0.69243372
Content-CNN,,,,,,,,,,,,,,,,0.6883245135
CBMV,,,,,,,,,,,,,,,,